Dhahran,الظهران
Al Musanaah,المصنعة
Barka,بركاء
Rustaq,الرستاق
Al Buraimi,البريمي
Mahdah,محضة
As Sunainah,السنينة
Haima,هيما
Duqm,الدقم
Mahout,محوت
Al Jazer,الجازر
Ibra,إبراء
Al Mudhaibi,المضيبي
Bidiyah,بدية
Wadi Bani Khaled,وادي بني خالد
Dema Wa Thaieen,دماء والطائيين‎
Al Qabil,القابل
Masirah,مصيرة
Sur,صور
Jalan Bani Bu Hassan,جعلان بني بو حسن
Jalan Bani Bu Ali,جعلان بني بو علي
Al Kamil Wal Wafi,الكامل والوافي
Salalah,صلالة
Taqah,طاقة
Mirbat,مرباط
Thumrait,تمريت
Sadah,سدح
Rakhyut,رخيوت
Dhalkut,ضلكوت
Muqshin,مقشن
Al Mazyona,المزيونة
Muscat,مسقط
Muttrah,مطرح
Bawshar,بوشر
Seeb,السيب
Al Amarat,العامرات
Qurayyat,القريات
Khasab,خصب
Bukha,بخاء
Dibba,دبا
Madha,مدحاء
Adan,عدن
Amran,عمران
Abyan,أبين
Ad Dali,الضالع
Al Bayda,البيضاء
Al Hudaydah,الحديدة
Al Jawf,الجوف
Al Mahrah,المهرة
Al Mahwit,المحيوت
Dhamar,ذمار
Hadramaut,حضرموت
Hajjah,حجة
Ibb,إب
Lahij,لحج
Ma'rib,مأرب
Raymah,ريمة
Sa'dah,صعدة
Sana'a,صنعاء
Shabwah,شبوة
Taizz,التعزية
Manama,منامة
Riffa,الرفاع
Muharraq,المحرق
Hamad Town,مدينة حمد
A'ali,عالي
Isa Town,مدينة عيسى
Sitra,سترة
Budaiya,البديع
Jidhafs,جدحفص
Al Malikiyah,المالكية
Jid Ali,جد علي
Adliya,العدلية
Sanabis,سنابس
Tubli,توبلي
Seef,السيف
Saar,سار
Mahooz,الماحوز
Hoora,الحور
Gudaibiya,القضيبية
Salmabad,سلماباد
Jurdab,جرداب
Diyar Al Muharraq,جزيرة المحرق
Amwaj Island,جزر أمواج
Al Hidd,الحد
Arad,عراد
Busaiteen,البسيتين
Kuwait City,مدينة الكويت
Hawally,حولي
Al Farwaniyah,الفروانية
Mubarak Al Kabeer,مبارك الكبير
Ahmadi,الأحمدي
Al Jahra,الجهراء
Al Shamal,الشمال
Al Khor,الخور
Ash Shahaniyah,الشحانية
Umm Salal,أم صلال
Al Daayen,الضعاين
Doha,الدوحة
Al Rayyan,الريان‎
Al Wakrah,الوكرة
Al Anbar,الأنبار
Babil,بابل
Baghdad,بغداد
Basra,البصرة
Dhi Qar,ذي قار
Al Qadisiyyah,القادسية
Diyala,ديالى
Dohuk,دهوك
Erbil,أربيل
Halabja,حلبجة
Karbala,كربلاء
Kirkuk,كركوك
Maysan,ميسان
Muthanna,المثنى
Najaf,النجف
Nineveh,نينوى
Saladin,صلاح الدين
Sulaymaniyah,السليمانية
Wasit,واسط
Irbid,اربد
Ajloun,عجلون
Jerash,جرش
Mafraq,المفرق
Balqa,البلقاء
Amman,عمان
Zarqa,الزرقاء
Madaba,مادبا
Karak,الكرك
Tafilah,الطفيلة
Ma'an,معان
Aqaba,العقبة
Akkar,عكار
Baalbek-Hermel,بعلبك الهرمل
Beirut,بيروت
Beqaa,البقاع
Mount Lebanon,جبل لبنان
Nabatieh,النبطية
North,شمال
South,جنوب
Alexandria,الإسكندرية
Aswan,أسوان
Asyut,أسيوط
Beheira,البحيرة
Beni Suef,بني سويف
Cairo,القاهرة
Dakahlia,الدقهلية
Damietta,دمياط
Faiyum,الفيوم
Gharbia,الغربية
Giza,الجيزة
Ismailia,الإسماعيلية
Kafr El Sheikh,كفر الشيخ
Luxor,الأقصر
Matruh,مطروح
Minya,المنيا
Monufia,المنوفية
New Valley,الوادي الجديد
North Sinai,شمال سيناء
Port Said,بورسعيد
Qalyubia,القليوبية
Qena,قنا
Red Sea,البحر الاحمر
Sharqia,الشرقية
Sohag,سوهاج
South Sinai,جنوب سيناء
Suez,السويس
Ariana,أريانة
Béja,باجة
Ben Arous,بن عروس
Bizerte,بنزرت
Gabès,قابس
Gafsa,قفصة
Jendouba,جندوبة
Kairouan,القيروان
Kasserine,القصرين
Kebili,قبلي
Kef,الكاف
Mahdia,المهدية
Manouba,منوبة
Medenine,مدنين
Monastir,المنستير
Nabeul,نابل
Sfax,صفاقس
Sidi Bouzid,سيدي بوزيد
Siliana,سليانة
Sousse,سوسة
Tataouine,تطاوين
Tozeur,توزر
Tunis,تونس
Zaghouan,زغوان
Tangier,طنجة
Oujda,وجدة
Fès,فاس
Rabat,الرباط
Béni Mellal,بني ملال
Casablanca,الدار البيضاء
Marrakesh,مراكش
Errachidia,الرشيدية
Agadir,أغادير
Guelmim,كلميم
Laâyoune,العيون
Dakhla,الداخلة
Adrar,أدرار
Chlef,الشلف
Laghouat,الأغواط
Oum el-Bouaghi,أم البواقي
Batna,باتنة
Béjaïa,بجاية
Biskra,بسكرة
Béchar,بشار
Blida,البليدة
Bouïra,البويرة
Tamanghasset,تمنراست
Tébessa,تبسة
Tlemcen,تلمسان
Tiaret,تيارت
Tizi Ouzou,تيزي وزو
Algiers,الجزائر
Djelfa,الجلفة
Jijel,جيجل
Sétif,سطيف
Saïda,سعيدة
Skikda,سكيكدة
Sidi Bel Abbès,سيدي بلعباس
Annaba,عنابة
Guelma,قالمة
Constantine,قسنطينة
Médéa,المدية
Mostaganem,مستغانم
M'sila,المسيلة
Mascara,معسكر
Ouargla,ورقلة
Oran,وهران
El Bayadh,البيض
Illizi,اليزي
Bordj Bou Arréridj,برج بوعريريج
Boumerdès,بومرداس
El Taref,الطارف
Tindouf,تندوف
Tissemsilt,تسمسيلت
El Oued,الوادي
Khenchela,خنشلة
Souk Ahras,سوق أهراس
Tipaza,تيبازة
Mila,ميلة
Aïn Defla,عين الدفلى
Naâma,النعامة
Aïn Témouchent,عين تموشنت
Ghardaïa,غرداية
Relizane,غليزان
Bayda,البيضاء
Al Khums,آل الخمس
Awbari,أوباري
Az Zawiyah,الزاوية
Benghazi,بنغازي
Darnah,درنة
Al Jabal al Gharbi,الجبل الغربي
Misrata,مصراتة
Sabha,سبها
Tarabulus,طرابلس
Adana,أضنة
Adıyaman,أديامان
Afyonkarahisar,أفيون قره حصار
Ağrı,ألم
Amasya,أماسيا
Ankara,أنقرة
Antalya,أنطاليا
Artvin,أرتفين
Aydın,مفكر
Balıkesir,باليكسير
Bilecik,بيلجيك
Bingöl,بينغول
Bitlis,بتليس
Bolu,بولو
Burdur,بوردور
Bursa,الجراب
Çanakkale,كاناكالي
Çankırı,كانكيري
Çorum,كوروم
Denizli,دنيزلي
Diyarbakır,ديار بكر
Edirne,أدرنة
Elazığ,إيلازيغ
Erzincan,ارزينجان
Erzurum,أرضروم
Eskişehir,اسكيسهير
Gaziantep,غازي عنتاب
Giresun,جيرسون
Gümüşhane,جوموشان
Hakkâri,هكاري
Hatay,هاتاي
Isparta,اسبرطة
Mersin,الآس نبات عطري
Istanbul,اسطنبول
İzmir,إزمير
Kars,كارس
Kastamonu,كاستامونو
Kayseri,قيصري
Kırklareli,كيركلاريلي
Kırşehir,كيرسهير
Kocaeli,قوجا
Konya,قونية
Kütahya,كوتاهيا
Malatya,ملاطية
Manisa,مانيسا
Kahramanmaraş,كهرمان ماراس
Mardin,ماردين
Muğla,موغلا
Muş,المصحف
Nevşehir,نفسهير
Niğde,نيغدة
Ordu,جيش
Rize,ريزي
Sakarya,ساكاريا
Samsun,الدرواس كلب ضخم
Siirt,سيرت
Sinop,سينوب
Sivas,سيفاس
Tekirdağ,ستنعم
Tokat,صفعة
Trabzon,طرابزون
Tunceli,تونجلي
Şanlıurfa,سانليورفا
Uşak,خادمة
Van,عربة
Yozgat,يوزغات
Zonguldak,زونجولداك
Aksaray,أكساري
Bayburt,بايبورت
Karaman,كرمان
Kırıkkale,كيركيال
Batman,باتمان
Şırnak,سيرناك
Bartın,بارتين
Ardahan,أردهان
Iğdır,اجدير
Yalova,يالوفا
Karabük,كارابوك
Kilis,كيليس
Osmaniye,عثمانية
Düzce,دوزجي
Zacatecas,زاكاتيكاس
Yucatán,يوكاتان
Veracruz,فيراكروز
Tlaxcala,تلاكسكالا
Tamaulipas,تاماوليباس
Tabasco,تاباسكو
Sonora,سونورا
Sinaloa,سينالوا
San Luis Potosí,سان لويس بوتوسي
Quintana Roo,كوينتانا رو
Querétaro,كويريتارو
Puebla,بويبلا
Oaxaca,أواكساكا
Nuevo León,نويفو ليون
Nayarit,ناياريت
Morelos,موريلوس
Michoacán,ميشواكان
Jalisco,خاليسكو
Hidalgo,هيدالغو
Guerrero,غيريرو
Guanajuato,غواناخواتو
Estado de México,استادو دي مكسيكو
Durango,دورانجو
Colima,كوليما
Coahuila,كواهويلا
Ciudad de México,سيوداد دي مكسيكو
Chihuahua,تشيهواهوا
Chiapas,تشياباس
Campeche,كامبيتشي
Baja California Sur,باجا كاليفورنيا سور
Baja California,باجا كاليفورنيا
Aguascalientes,اغواسكالينتيس
Northern Territory,الإقليم الشمالي
Western Australia,غرب استراليا
Tasmania,تسمانيا
South Australia,جنوب استراليا
Queensland,كوينزلاند
Victoria,فيكتوريا
New South Wales,نيو ساوث ويلز
Australian Capital Territory,إقليم العاصمة الأسترالية
West Bengal,ولاية البنغال الغربية
Uttarakhand,أوتارانتشال
Uttar Pradesh,ولاية اوتار براديش
Tripura,تريبورا
Telangana,تيلانجانا
Tamil Nadu,تاميل نادو
Sikkim,سيكيم
Rajasthan,راجستان
Punjab,البنجاب
Puducherry,بودوتشيري
Odisha,أوديشا
Nagaland,ناجالاند
Mizoram,ميزورام
Meghalaya,ميغالايا
Manipur,مانيبور
Maharashtra,ماهاراشترا
Madhya Pradesh,ماديا براديش
Lakshadweep,اكشادويب
Kerala,ولاية كيرالا
Karnataka,كارناتاكا
Jharkhand,جهارخاند
Jammu and Kashmir,جامو وكشمير
Himachal Pradesh,هيماشال براديش
Haryana,هاريانا
Gujarat,غوجارات
Goa,غوا
Delhi,دلهي
Daman and Diu,دامان وديو
Dadra and Nagar Haveli,دادرا وناغار هافيلي
Chhattisgarh,تشهاتيسجاره
Chandigarh,شانديغار
Bihar,بيهار
Assam,أسام
Arunachal Pradesh,اروناتشال براديش
Andhra Pradesh,ولاية اندرا براديش
Andaman and Nicobar Islands,اندامان ونيكوبار
Grad Zagreb,غراد زغرب
Međimurska županija,مقاطعة ماجيموريه
Dubrovačko-neretvanska županija,مقاطعة دوبروفاكو-نيريتفانسكا
Istarska županija,إيستارسكا زوبانيجا
Splitsko-dalmatinska županija,سبليتسكو دالماتينسكا
Vukovarsko-srijemska županija,فوكوفارسكو سريجمسكا
Šibensko-kninska županija,سيبنسكو كنينسكا زوبانيجا
Osječko-baranjska županija,أوسيجيكو زوبانيجا
Zadarska županija,زادارسكا زوبانيجا
Brodsko-posavska županija,برودسكو بوسافسكا زوبانيجا
Požeško-slavonska županija,بوزيسكو-سلافونسكا زوبانيجا
Virovitičko-podravska županija,فيروفيتيكو، بودرافسكا زوبانيجا
Ličko-senjska županija,ليكو سنجسكا زوبانيجا
Primorsko-goranska županija,مقاطعة بريمروسكو غورانسكا
Bjelovarsko-bilogorska županija,بجيلوفارسكو بيلوغورسكا زوبانيجو
Koprivničko-križevačka županija,كوبرفنيكو كريزفاكا زوبانيجا
Varaždinska županija,فارازدينسكا زوبانيجا
Karlovačka županija,كارلوفاسكا زوبانيجا
Sisačko-moslavačka županija,سيساكو موسلافاكا زوبانيجا
Krapinsko-zagorska županija,كاربينسكو زاجورسكا زوبانيجا
Zagrebačka županija,مقاطعة زغرب
Distrito Federal,وفي مقاطعة الاتحادية
Tocantins,توكانتينز
Sergipe,سيرغيبي
São Paulo,ساو باولو
Santa Catarina,سانتا كاتارينا
Roraima,رورايما
Rondônia,روندونيا
Rio Grande do Sul,ريو غراندي دو سول
Rio Grande do Norte,ريو غراندي دو نورتي
Rio de Janeiro,ريو دي جانيرو
Piauí,بياوي
Pernambuco,بيرنامبوكو
Paraná,بارانا
Paraíba,بارايبا
Pará,بارا
Minas Gerais,ميناس جيرايس
Mato Grosso do Sul,ماتو غروسو دو سول
Mato Grosso,ماتو غروسو
Maranhão,مارانهاو
Goiás,غوياس
Espírito Santo,اسبيريتو سانتو
Ceará,سيارا
Bahia,باهيا
Amazonas,أمازوناس
Amapá,أمابا
Alagoas,ألاغواس
Acre,أكري
Vilniaus Apskritis,Vilniaus Apskritis
Utenos Apskritis,Utenos Apskritis
Telšių Apskritis,Telšių Apskritis
Tauragės Apskritis,Tauragės Apskritis
Šiaulių Apskritis,Šiaulių Apskritis
Panevėžio Apskritis,Panevėžio Apskritis
Marijampolės Apskritis,Marijampolės Apskritis
Klaipėdos Apskritis,Klaipėdos Apskritis
Kauno Apskritis,Kauno Apskritis
Alytaus Apskritis,Alytaus Apskritis
Ķekavas novads,Ķekavas novads
Ķeguma novads,Ķeguma novads
Ērgļu novads,Ērgļu novads
Ādažu novads,Ādažu novads
Zilupes novads,Zilupes novads
Vārkavas novads,Vārkavas novads
Viļānu novads,Viļānu novads
Viļakas novads,Viļakas novads
Viesītes novads,Viesītes novads
Ventspils novads,Ventspils novads
Vecumnieku novads,Vecumnieku novads
Vecpiebalgas novads,Vecpiebalgas novads
Varakļānu novads,Varakļānu novads
Valmieras novads,Valmieras novads
Valkas novads,Valkas novads
Vaiņodes novads,Vaiņodes novads
Tērvetes novads,Tērvetes novads
Tukuma novads,Tukuma novads
Talsu novads,Talsu novads
Sējas novads,Sējas novads
Strenču novads,Strenču novads
Stopiņu novads,Stopiņu novads
Smiltenes novads,Smiltenes novads
Skrīveru novads,Skrīveru novads
Skrundas novads,Skrundas novads
Siguldas novads,Siguldas novads
Saulkrastu novads,Saulkrastu novads
Saldus novads,Saldus novads
Salaspils novads,Salaspils novads
Salas novads,Salas novads
Salacgrīvas novads,Salacgrīvas novads
Rūjienas novads,Rūjienas novads
Rēzeknes novads,Rēzeknes novads
Rundāles novads,Rundāles novads
Rugāju novads,Rugāju novads
Rucavas novads,Rucavas novads
Ropažu novads,Ropažu novads
Rojas novads,Rojas novads
Riebiņu novads,Riebiņu novads
Raunas novads,Raunas novads
Pļaviņu novads,Pļaviņu novads
Pāvilostas novads,Pāvilostas novads
Pārgaujas novads,Pārgaujas novads
Priekuļu novads,Priekuļu novads
Priekules novads,Priekules novads
Preiļu novads,Preiļu novads
Ozolnieku novads,Ozolnieku novads
Olaines novads,Olaines novads
Ogres novads,Ogres novads
Nīcas novads,Nīcas novads
Neretas novads,Neretas novads
Naukšēnu novads,Naukšēnu novads
Mārupes novads,Mārupes novads
Mālpils novads,Mālpils novads
Mazsalacas novads,Mazsalacas novads
Madonas novads,Madonas novads
Līvānu novads,Līvānu novads
Līgatnes novads,Līgatnes novads
Ludzas novads,Ludzas novads
Lubānas novads,Lubānas novads
Limbažu novads,Limbažu novads
Lielvārdes novads,Lielvārdes novads
Kārsavas novads,Kārsavas novads
Kuldīgas novads,Kuldīgas novads
Krāslavas novads,Krāslavas novads
Krustpils novads,Krustpils novads
Krimuldas novads,Krimuldas novads
Kokneses novads,Kokneses novads
Kandavas novads,Kandavas novads
Jēkabpils novads,Jēkabpils novads
Jelgavas novads,Jelgavas novads
Jaunpils novads,Jaunpils novads
Jaunpiebalgas novads,Jaunpiebalgas novads
Jaunjelgavas novads,Jaunjelgavas novads
Inčukalna novads,Inčukalna novads
Ilūkstes novads,Ilūkstes novads
Ikšķiles novads,Ikšķiles novads
Iecavas novads,Iecavas novads
Gulbenes novads,Gulbenes novads
Grobiņas novads,Grobiņas novads
Garkalnes novads,Garkalnes novads
Engures novads,Engures novads
Durbes novads,Durbes novads
Dundagas novads,Dundagas novads
Dobeles novads,Dobeles novads
Daugavpils novads,Daugavpils novads
Dagdas novads,Dagdas novads
Cēsu novads,Cēsu novads
Ciblas novads,Ciblas novads
Cesvaines novads,Cesvaines novads
Carnikavas novads,Carnikavas novads
Burtnieku novads,Burtnieku novads
Brocēnu novads,Brocēnu novads
Beverīnas novads,Beverīnas novads
Bauskas novads,Bauskas novads
Balvu novads,Balvu novads
Baltinavas novads,Baltinavas novads
Baldones novads,Baldones novads
Babītes novads,Babītes novads
Auces novads,Auces novads
Apes novads,Apes novads
Amatas novads,Amatas novads
Alūksnes novads,Alūksnes novads
Alsungas novads,Alsungas novads
Alojas novads,Alojas novads
Aknīstes novads,Aknīstes novads
Aizputes novads,Aizputes novads
Aizkraukles novads,Aizkraukles novads
Aglonas novads,Aglonas novads
Ventspils,Ventspils
Valmiera,Valmiera
Rīgas novads,Rīgas novads
Rīga,Rīga
Rēzekne,Rēzekne
Liepājas novads,Liepājas novads
Liepāja,يابايا
Jūrmala,يورمال
Jēkabpils,يكاب
Jelgava,يلغافا
Daugavpils,داوجافبيلس
Võrumaa,فوروما
Viljandimaa,فيلجاندي
Valgamaa,فلغما
Tartumaa,تارتوما
Saaremaa,ساريما
Raplamaa,رابلاما
Pärnumaa,بارنوما
Põlvamaa,بولفاما
Lääne-Virumaa,اني فيريوما
Läänemaa,انيما
Järvamaa,يارفا
Jõgevamaa,جوغفما
Ida-Virumaa,مقاطعة فيرو
Hiiumaa,هيوما
Harjumaa,Harju
Ahvenanmaa,آلاند
Kymenlaakso,كومنلاكسو
Itä-Uusimaa,أوسيما الشرقية
Uusimaa,أوسيما
Kanta-Häme,كانتا-HAME
Päijät-Häme,Päijät-HAME
Etelä-Karjala,جنوب كاريليا
Varsinais-Suomi,جنوب غرب فنلندا
Keski-Suomi,فنلندا الوسطى
Keski-Pohjanmaa,بوهيانما الوسطى
Satakunta,ساتا كونتا
Pirkanmaa,بيركنما
Pohjanmaa,بوهيانما
Etelä-Pohjanmaa,أوستروبوتني الجنوبية
Etelä-Savo,جنوب سافو
Pohjois-Savo,ستميث
Pohjois-Karjala,كاريليا الشمالية
Kainuu,كاينو
Pohjois-Pohjanmaa,أوستروبوتني الشمالية
Lappi,ابلاند
Vrancea,فرانتشا
Vâlcea,فالسيا
Vaslui,فاسلوي
Tulcea,تولسيا
Timiş,تيم هو
Teleorman,تيليورمان
Suceava,سوسيفا
Sibiu,سيبيو
Sălaj,سالاج
Satu-Mare,ساتو ماري
Prahova,براهوفا
Olt,أولت
Neamţ,نيامتس
Mureş,موريس
Mehedinţi,ميهيدينتي
Maramureş,مارامريس
Ilfov,إيلفوف
Iaşi,ياشي
Ialomiţa,ايالوميتا
Hunedoara,هونيدوارا
Harghita,هارغيتا
Gorj,غورج
Giurgiu,غيورغيو
Galaţi,جالاتي
Dolj,دولج
Dâmboviţa,دامبوفيتا
Covasna,كوفاسنا
Constanţa,كونستانتا
Cluj,كلوج
Călăraşi,كالاراسي
Caraş-Severin,كاراس سيفيرين
Buzău,بوزاو
Bucureşti,بوخارست
Brăila,برايلا
Braşov,براشوف
Botoşani,بوتوساني
Bistriţa-Năsăud,بيستريتا ناسود
Bihor,بيهور
Bacău,باكاو
Argeş,ارجيس
Arad,اراد
Alba,ألبا
Val-d'Oise,فال دواز
Val-de-Marne,فال دو مارن
Seine-Saint-Denis,سين سان دوني
Hauts-de-Seine,هوت دو سين
Essonne,إيسون
Territoire-de-Belfort,تيريتوير دي بلفور
Yonne,يون
Vosges,الفوج
Haute-Vienne,هوت فيين
Vienne,فيين
Vendée,فيندي
Vaucluse,فوكلوز
Var,فار
Tarn-et-Garonne,تارن وغارون
Tarn,تارن
Somme,السوم
Deux-Sèvres,دوكس سفرس
Yvelines,إيفلين
Seine-et-Marne,سيين إت مارن
Seine-Maritime,سين البحرية
Paris,باريس
Haute-Savoie,هاوت سافوي
Savoie,سافوا
Sarthe,سارت
Saône-et-Loire,سون ولوار
Haute-Saône,هوت-سون
Rhône,رون
Haut-Rhin,أوت رين
Bas-Rhin,بس رين
Pyrénées-Orientales,بيرينيه-أورينتال
Hautes-Pyrénées,أوتس-بيرينيه
Pyrénées-Atlantiques,البرانيس ​​الأطلسية
Puy-de-Dôme,بوي دي دوم
Pas-de-Calais,با-دو-كاليه
Orne,أورن
Oise,إيل دو فرانس
Nord,نورد
Nièvre,نيفر
Moselle,موسيل
Morbihan,موربيهان
Meuse,ميوز
Meurthe-et-Moselle,مورت وموزيل
Mayenne,مايين
Haute-Marne,هوت مارن
Marne,مارن
Manche,المانش
Maine-et-Loire,مين-إي-لوار
Lozère,لوزر
Lot-et-Garonne,الكثير غارون
Lot,قطعة أرض
Loiret,لورا
Loire-Atlantique,وار أتلانتيك
Haute-Loire,هوت-لوار
Loire,لوار
Loir-et-Cher,لوار وشير
Landes,اندز
Jura,العصر الجوارسي أو الجوري
Isère,إيسر
Indre-et-Loire,أندر ولوار
Indre,إندر
Ille-et-Vilaine,إيل وفيلان
Hérault,هيرولت
Gironde,جيروند
Gers,الخيام
Haute-Garonne,هوت غارون
Gard,جارد
Finistère,فينيستير
Eure-et-Loir,أور ولوار
Eure,أور
Drôme,دروم
Doubs,دوبس
Dordogne,دوردوني
Creuse,كروز
Côtes-d'Armor,كوتس دي أرمور
Côte-d'Or,كوت دور
Haute-Corse,هوت كورس
Corse-du-Sud,كورس دو سود
Corrèze,كوريز
Cher,شير
Charente-Maritime,سيين إت مارن
Charente,شارانت
Cantal,كانتال
Calvados,كالفادوس
Bouches-du-Rhône,بوش دو رون
Aveyron,أفيرون
Aude,اود
Aube,أوب
Ariège,أرياج
Ardennes,آردن
Ardèche,Ardèche
Alpes-Maritimes,ألب ماريتيم
Hautes-Alpes,أوتس ألب
Alpes-de-Haute-Provence,ألب دي هوت بروفانس
Allier,اليي
Aisne,أيسن
Ain,عين
Zaragoza,سرقسطة
Zamora,زامورا
Vizcaya,فيزكايا
Valladolid,بلد الوليد
Valencia,فالنسيا
Toledo,توليدو
Teruel,تيرويل
Tarragona,تاراغونا
Soria,سوريا
Sevilla,اشبيلية
Segovia,سيغوفيا
Santa Cruz de Tenerife,سانتا كروث دي تينيريفي
Salamanca,سالامانكا
Pontevedra,بونتيفيدرا
Palencia,بلنسية
Ourense,أورينس
Navarra,نافارا
Murcia,مورسيا
Melilla,مليلية
Malaga,ملقة
Madrid,مدريد
Lugo,لوغو
Lleida,يدا
Leon,ليون
Las Palmas,لاس بالماس
La Rioja,اريوخا
Jaen,خاين
Huesca,هويسكا
Huelva,هويلفا
Guipuzcoa,بجويبوزكوا
Guadalajara,غوادالاخارا
Granada,غرناطة
Girona,جيرونا
Cuenca,كوينكا
Cordoba,قرطبة
Ciudad Real,سيوداد ريال
Ceuta,سبتة
Castellon,كاستيلون
Cantabria,كانتابريا
Cadiz,كاديز
Caceres,كاسيريس
Burgos,برغش
Barcelona,برشلونة
Baleares,البليار
Badajoz,بطليوس
Avila,أفيلا
Asturias,أستورياس
Almeria,الميريا
Alicante,اليكانتي
Albacete,الباسيتي
Alava,ألافا
A Coruña,سانتياغو دي كومبوستيلا
Zürich,زيورخ
Zug,زوغ
Wallis,اليس
Waadt,وادت
Uri,أوري
Tessin,تيتشينو
Thurgau,ثورجو
Schwyz,شفيتس
Solothurn,سولوتورن
Schaffhausen,شافهاوزن
St. Gallen,سانت غالن
Obwalden,أوبوالدن
Nidwalden,نيدوالدن
Neuenburg,نونبورغ
Luzern,لوزيرن
Jura,العصر الجوارسي أو الجوري
Graubünden,غراوبوندن
Glarus,جلاروس
Genf,جنيف
Freiburg,فرايبورغ
Basel-Stadt,بازل شتات
Basel-Landschaft,كانتون ريف بازل
Bern,برن
Appenzell Ausserrhoden,أبنزل أوسيرهودن
Appenzell Innerrhoden,أبنزل إينرهودن
Aargau,أرجاو
Vorarlberg,فورارلبرغ
Burgenland,بورغنلاند
Tirol,تيرول
Steiermark,ستيريا
Kärnten,كارينثيا
Salzburg,سالزبورغ
Oberösterreich,النمسا العليا
Niederösterreich,النمسا السفلى
Wien,فيينا
Thüringen,تورنغن
Schleswig-Holstein,شليسفيغ هولشتاين
Sachsen-Anhalt,سكسونيا أنهالت
Sachsen,ساكسن
Saarland,سارلاند
Rheinland-Pfalz,راينلاند-بفالز
Nordrhein-Westfalen,نوردراين فيستفالن
Mecklenburg-Vorpommern,مكلنبورغ-فوربومرن
Hessen,هيسن
Hamburg,هامبورغ
Bremen,بريمن
Brandenburg,براندنبورغ
Berlin,البرلينية
Bayern,بايرن ميونيخ
